Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més,Total. Total,Homes. Total,Dones. Total,P Total. De 0 a 14 anys,P Total. De 15 a 64 anys,P Total. 65 anys o més,P Homes. De 0 a 14 anys,P Homes. De 15 a 64 anys,P Homes. 65 anys o més,P Dones. De 0 a 14 anys,P Dones. De 15 a 64 anys,P Dones. 65 anys o més
43004,Alcanar,675,3214,973,640,2985,1092,1315,6199,2065,9579,4862,4717,0.13727946549744233,0.6471447959077148,0.2155757385948429,0.1388317564788153,0.6610448375154258,0.20012340600575895,0.13567945728217087,0.6328174687301251,0.23150307398770406
25010,Alcanó,18,72,28,14,68,33,32,140,61,233,118,115,0.13733905579399142,0.6008583690987125,0.26180257510729615,0.15254237288135594,0.6101694915254238,0.23728813559322035,0.12173913043478261,0.591304347826087,0.28695652173913044
25011,Alcarràs,922,3602,546,843,3126,639,1765,6728,1185,9678,5070,4608,0.18237239098987393,0.6951849555693325,0.12244265344079355,0.18185404339250494,0.7104536489151874,0.1076923076923077,0.18294270833333334,0.6783854166666666,0.138671875
25012,Alcoletge,316,1306,221,312,1099,238,628,2405,459,3492,1843,1649,0.17983963344788087,0.688717067583047,0.13144329896907217,0.17145957677699403,0.7086272381985893,0.11991318502441671,0.18920557913887204,0.6664645239539114,0.14432989690721648
43005,Alcover,422,1719,428,430,1676,510,852,3395,938,5185,2569,2616,0.16432015429122468,0.6547733847637416,0.18090646094503376,0.16426625145971194,0.6691319579602958,0.16660179057999222,0.1643730886850153,0.6406727828746177,0.19495412844036697
43904,"Aldea, l'",322,1464,433,271,1198,472,593,2662,905,4160,2219,1941,0.14254807692307692,0.6399038461538461,0.21754807692307693,0.14511041009463724,0.6597566471383506,0.19513294276701218,0.1396187532199897,0.6172076249356002,0.2431736218444101
43006,Aldover,57,291,116,40,266,141,97,557,257,911,464,447,0.10647639956092206,0.6114160263446762,0.28210757409440174,0.12284482758620689,0.6271551724137931,0.25,0.0894854586129754,0.5950782997762863,0.31543624161073824
43007,"Aleixar, l'",72,322,75,63,300,80,135,622,155,912,469,443,0.14802631578947367,0.6820175438596491,0.1699561403508772,0.1535181236673774,0.6865671641791045,0.15991471215351813,0.14221218961625282,0.6772009029345373,0.18058690744920994
8003,Alella,850,3021,1008,718,3212,1145,1568,6233,2153,9954,4879,5075,0.15752461322081576,0.6261804299778984,0.2162949568012859,0.17421602787456447,0.6191842590694815,0.2065997130559541,0.14147783251231527,0.6329064039408867,0.22561576354679802
43008,Alfara de Carles,16,133,54,18,97,58,34,230,112,376,203,173,0.09042553191489362,0.6117021276595744,0.2978723404255319,0.07881773399014778,0.6551724137931034,0.2660098522167488,0.10404624277456648,0.5606936416184971,0.3352601156069364
25013,Alfarràs,174,954,299,185,786,361,359,1740,660,2759,1427,1332,0.13011960855382385,0.6306632837984777,0.23921710764769843,0.12193412754029433,0.6685353889278206,0.20953048353188508,0.1388888888888889,0.5900900900900901,0.27102102102102105
25014,Alfés,21,102,39,13,84,42,34,186,81,301,162,139,0.11295681063122924,0.6179401993355482,0.2691029900332226,0.12962962962962962,0.6296296296296297,0.24074074074074073,0.09352517985611511,0.60431654676259,0.302158273381295
43009,Alforja,129,647,161,119,587,200,248,1234,361,1843,937,906,0.13456321215409658,0.6695604991861096,0.1958762886597938,0.1376734258271078,0.6905016008537886,0.1718249733191035,0.13134657836644592,0.6479028697571744,0.22075055187637968
25015,Algerri,24,139,69,14,98,79,38,237,148,423,232,191,0.08983451536643026,0.5602836879432624,0.34988179669030733,0.10344827586206896,0.5991379310344828,0.2974137931034483,0.07329842931937172,0.5130890052356021,0.41361256544502617
25016,Alguaire,207,1114,311,233,860,340,440,1974,651,3065,1632,1433,0.14355628058727568,0.6440456769983687,0.21239804241435561,0.12683823529411764,0.6825980392156863,0.19056372549019607,0.162595952547104,0.6001395673412422,0.23726448011165388
25017,Alins,13,88,46,10,83,39,23,171,85,279,147,132,0.08243727598566308,0.6129032258064516,0.3046594982078853,0.08843537414965986,0.5986394557823129,0.3129251700680272,0.07575757575757576,0.6287878787878788,0.29545454545454547
43010,Alió,41,136,60,50,144,47,91,280,107,478,237,241,0.1903765690376569,0.5857740585774058,0.22384937238493724,0.1729957805907173,0.5738396624472574,0.25316455696202533,0.2074688796680498,0.5975103734439834,0.1950207468879668
25019,Almacelles,504,2564,614,451,2008,734,955,4572,1348,6875,3682,3193,0.1389090909090909,0.6650181818181818,0.19607272727272726,0.13688212927756654,0.6963606735469854,0.16675719717544812,0.14124647666771062,0.6288756655183213,0.22987785781396805
25020,Almatret,9,108,56,5,72,60,14,180,116,310,173,137,0.04516129032258064,0.5806451612903226,0.3741935483870968,0.05202312138728324,0.6242774566473989,0.3236994219653179,0.0364963503649635,0.5255474452554745,0.43795620437956206
25021,Almenar,223,1195,360,196,945,446,419,2140,806,3365,1778,1587,0.12451708766716196,0.6359583952451708,0.23952451708766717,0.12542182227221596,0.6721034870641169,0.20247469066366705,0.12350346565847511,0.5954631379962193,0.2810333963453056
43011,Almoster,92,467,99,80,473,111,172,940,210,1322,658,664,0.13010590015128592,0.7110438729198184,0.1588502269288956,0.1398176291793313,0.709726443768997,0.15045592705167174,0.12048192771084337,0.7123493975903614,0.16716867469879518
25022,Alòs de Balaguer,6,47,21,2,27,19,8,74,40,122,74,48,0.06557377049180328,0.6065573770491803,0.32786885245901637,0.08108108108108109,0.6351351351351351,0.28378378378378377,0.041666666666666664,0.5625,0.3958333333333333
