MUNICIPI_CODI,"('No vacunat', 1, 'Total')","('No vacunat', 2, 'Total')","('No vacunat', 3, 'Total')","('vacunat', 1, 'Total')","('vacunat', 2, 'Total')","('vacunat', 3, 'Total')",Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més,Total. Total,Homes. Total,Dones. Total,P Total. De 0 a 14 anys,P Total. De 15 a 64 anys,P Total. 65 anys o més,P Homes. De 0 a 14 anys,P Homes. De 15 a 64 anys,P Homes. 65 anys o més,P Dones. De 0 a 14 anys,P Dones. De 15 a 64 anys,P Dones. 65 anys o més
17012,0.014947683109118086,0.005737704918032787,0.011686143572621035,0.9850523168908819,0.9942622950819672,0.988313856427379,Avinyonet de Puigventós,141.0,590.0,94.0,143.0,587.0,102.0,284.0,1177.0,196.0,1657.0,825.0,832.0,0.17139408569704284,0.7103198551599276,0.11828605914302957,0.1709090909090909,0.7151515151515152,0.11393939393939394,0.171875,0.7055288461538461,0.12259615384615384
17013,0.00981675392670157,0.002468265162200282,0.004380475594493116,0.9901832460732984,0.9975317348377997,0.9956195244055068,Begur,232.0,1359.0,429.0,235.0,1323.0,461.0,467.0,2682.0,890.0,4039.0,2020.0,2019.0,0.11562267888091111,0.6640257489477593,0.22035157217132953,0.11485148514851486,0.6727722772277228,0.21237623762376237,0.11639425458147598,0.6552748885586924,0.2283308568598316
17015,0.012757777001048584,0.007432035986700567,0.013756486062507543,0.9872422229989514,0.9925679640132994,0.9862435139374924,Banyoles,1821.0,6705.0,1514.0,1653.0,6464.0,2011.0,3474.0,13169.0,3525.0,20168.0,10040.0,10128.0,0.17225307417691393,0.6529650932169774,0.1747818326061087,0.18137450199203187,0.6678286852589641,0.15079681274900397,0.16321090047393366,0.6382306477093207,0.19855845181674567
17016,0.032036613272311214,0.017811704834605598,0.02880658436213992,0.9679633867276888,0.9821882951653944,0.9711934156378601,Bàscara,78.0,354.0,91.0,73.0,297.0,122.0,151.0,651.0,213.0,1015.0,523.0,492.0,0.14876847290640394,0.6413793103448275,0.20985221674876847,0.1491395793499044,0.6768642447418738,0.1739961759082218,0.1483739837398374,0.6036585365853658,0.24796747967479674
17018,0.04477611940298507,0.006198347107438017,0.011363636363636364,0.9552238805970149,0.993801652892562,0.9886363636363636,Bellcaire d'Empordà,48.0,210.0,72.0,54.0,225.0,90.0,102.0,435.0,162.0,699.0,330.0,369.0,0.1459227467811159,0.6223175965665236,0.2317596566523605,0.14545454545454545,0.6363636363636364,0.21818181818181817,0.14634146341463414,0.6097560975609756,0.24390243902439024
17019,0.01665166516651665,0.0039196472317491425,0.006488240064882401,0.9833483348334834,0.9960803527682509,0.9935117599351176,Besalú,196.0,721.0,258.0,196.0,802.0,329.0,392.0,1523.0,587.0,2502.0,1175.0,1327.0,0.15667466027178256,0.6087130295763389,0.2346123101518785,0.16680851063829788,0.6136170212765958,0.2195744680851064,0.14770158251695553,0.6043707611152976,0.2479276563677468
17020,0.0344908493664946,0.016463090812533193,0.03051181102362205,0.9655091506335054,0.9835369091874668,0.969488188976378,Bescanó,496.0,1696.0,375.0,447.0,1634.0,446.0,943.0,3330.0,821.0,5094.0,2567.0,2527.0,0.185119748723989,0.6537102473498233,0.16117000392618766,0.19322165952473705,0.6606934164394235,0.1460849240358395,0.1768895924020578,0.6466165413533834,0.17649386624455876
17022,0.008004385964912281,0.0044530027680828015,0.008539118393722595,0.9919956140350877,0.9955469972319172,0.9914608816062774,"Bisbal d'Empordà, la",1041.0,3720.0,835.0,938.0,3591.0,1065.0,1979.0,7311.0,1900.0,11190.0,5596.0,5594.0,0.17685433422698837,0.6533512064343163,0.16979445933869527,0.18602573266619013,0.6647605432451751,0.14921372408863473,0.1676796567751162,0.6419377904898105,0.1903825527350733
17023,0.014032782969575733,0.007698804573804574,0.01342471961028662,0.9859672170304242,0.9923011954261954,0.9865752803897134,Blanes,2802.0,13800.0,3452.0,2619.0,13261.0,4340.0,5421.0,27061.0,7792.0,40274.0,20054.0,20220.0,0.13460296965784377,0.6719223320256245,0.19347469831653175,0.13972274857883715,0.6881420165553007,0.17213523486586219,0.12952522255192878,0.655835806132542,0.21463897131552917
17024,0.015151515151515152,0.004219409282700422,0.007575757575757576,0.9848484848484849,0.9957805907172996,0.9924242424242424,Bolvir,38.0,178.0,40.0,30.0,159.0,44.0,68.0,337.0,84.0,489.0,256.0,233.0,0.1390593047034765,0.689161554192229,0.17177914110429449,0.1484375,0.6953125,0.15625,0.12875536480686695,0.6824034334763949,0.1888412017167382
